precipitation,wind,temp_avg
0.0,3.7,15.850000000000001
0.0,3.2,16.7
0.0,5.7,15.0
0.3,4.2,16.15
0.0,2.6,16.4
0.0,3.7,16.1
0.0,2.9,17.8
0.0,3.4,18.35
0.0,3.0,19.75
0.3,3.4,18.3
0.0,3.7,16.4
3.0,5.0,15.0
0.3,1.5,16.4
0.0,1.7,18.65
7.9,2.1,18.6
4.8,3.7,17.5
9.9,2.8,18.85
2.0,2.3,18.6
3.6,1.3,18.9
0.0,2.2,23.35
0.0,1.7,24.15
0.0,2.5,25.549999999999997
0.0,2.3,25.0
0.0,3.0,21.95
0.0,3.2,21.4
0.0,2.2,17.8
0.0,2.6,18.6
0.0,2.2,19.700000000000003
0.0,2.9,18.9
0.0,2.8,20.0
0.0,2.5,22.5
0.0,2.6,18.05
0.0,3.0,17.5
0.0,2.2,16.35
0.0,3.1,18.6
0.0,3.0,20.3
0.0,4.6,21.1
0.0,4.1,24.700000000000003
0.0,3.7,18.6
0.0,2.0,20.0
0.0,1.9,20.55
0.0,2.0,19.15
0.0,2.3,18.35
0.0,2.4,19.700000000000003
0.0,3.0,22.5
0.0,2.5,22.75
0.0,2.3,21.950000000000003
0.0,2.9,22.75
0.0,2.6,19.200000000000003
0.0,3.4,16.65
0.0,1.4,19.15
0.0,2.8,19.15
0.0,1.8,17.5
0.0,3.9,16.950000000000003
2.0,2.0,16.1
0.0,2.4,20.3
0.0,3.4,21.95
0.0,2.1,22.5
0.0,1.4,22.25
0.0,1.9,22.5
0.0,2.5,21.35
0.0,2.1,21.35
2.3,2.9,20.3
0.0,2.9,19.7
0.0,1.9,20.85
0.0,1.8,21.4
0.8,2.0,21.1
1.8,1.0,19.15
0.0,2.2,22.5
0.0,3.0,21.4
0.0,3.1,20.85
0.0,3.0,21.15
0.0,4.6,20.85
0.0,4.3,21.4
0.0,1.9,21.95
0.0,4.1,20.55
0.0,2.7,20.85
0.3,2.6,19.15
1.0,1.9,20.25
1.3,1.4,21.95
5.6,1.3,21.15
19.3,3.0,21.1
0.0,2.9,21.1
0.0,2.6,20.85
0.0,2.5,21.7
0.0,2.1,22.5
2.3,1.7,20.85
0.3,2.4,19.450000000000003
27.7,2.5,17.8
21.3,2.6,18.9
0.0,2.0,20.25
0.0,1.5,20.55
0.0,2.1,20.0
0.0,3.7,20.85
0.0,2.4,25.0
0.0,1.7,20.3
0.0,2.0,17.25
0.0,1.4,18.65
3.3,2.2,16.65
0.3,4.3,18.35
0.0,2.3,15.850000000000001
0.0,2.5,17.200000000000003
0.0,1.5,17.8
3.6,3.0,18.3
0.0,2.5,17.200000000000003
13.5,5.5,15.25
2.8,4.5,13.600000000000001
0.0,2.6,13.9
2.0,3.0,12.75
0.0,2.2,12.2
1.0,4.3,12.25
43.4,6.0,14.2
16.8,7.1,12.75
18.5,6.3,11.95
7.9,4.7,11.65
5.3,2.4,11.100000000000001
0.8,0.9,11.65
0.0,1.1,11.7
0.0,1.6,14.15
4.1,2.6,15.3
0.5,6.3,13.9
6.9,3.0,10.85
0.0,1.6,10.3
1.0,1.7,11.350000000000001
9.1,1.0,12.25
1.0,2.2,11.65
0.0,1.8,10.85
0.0,1.6,9.75
0.0,0.9,10.3
0.0,2.7,10.850000000000001
0.0,1.7,11.65
0.0,1.2,10.0
0.0,1.4,9.2
0.0,2.4,9.2
0.0,2.5,10.0
0.0,1.9,10.8
0.0,0.4,9.45
0.0,0.6,8.05
0.0,1.8,10.0
0.0,2.7,10.0
1.8,4.4,11.100000000000001
0.0,5.1,10.8
0.0,2.2,8.3
0.5,3.9,10.3
0.3,2.2,12.5
1.3,1.4,14.75
12.7,7.9,11.350000000000001
0.5,2.4,8.3
0.0,1.6,7.25
2.5,3.1,10.25
3.8,1.7,10.3
30.0,7.2,10.55
0.0,4.1,10.25
1.8,1.4,8.05
0.0,4.4,9.7
0.0,2.6,11.100000000000001
4.1,2.2,12.25
0.0,3.8,12.25
1.3,1.1,8.6
3.0,6.0,8.9
0.0,4.6,7.5
5.3,5.4,9.45
26.2,3.9,11.100000000000001
1.0,5.1,8.850000000000001
0.0,4.3,4.75
0.0,3.6,3.65
0.0,4.6,4.7
0.0,2.6,6.1
0.0,0.9,6.1499999999999995
0.0,0.5,7.199999999999999
0.0,1.0,7.5
0.0,1.3,10.0
0.0,0.7,7.5
0.5,2.1,7.2
2.3,3.9,9.15
3.0,8.8,10.55
4.6,3.5,4.75
0.0,5.6,2.25
0.0,1.6,1.1500000000000001
0.0,2.6,-1.9000000000000001
0.0,4.7,-1.5999999999999999
0.0,3.1,-3.55
0.0,2.2,-2.1999999999999997
0.0,1.3,-1.9000000000000001
0.0,1.5,3.0999999999999996
0.0,0.8,1.7
6.9,2.3,2.55
0.5,2.9,7.5
0.0,3.7,7.75
1.3,3.9,10.0
0.3,1.0,7.2
0.0,2.7,6.3500000000000005
1.3,2.8,5.0
0.0,2.1,2.5
5.6,3.7,4.45
5.6,2.3,7.25
10.7,4.0,9.45
1.5,5.9,8.899999999999999
0.0,1.7,5.550000000000001
0.0,0.8,4.2
0.0,0.5,3.65
0.3,2.1,4.45
0.0,1.3,6.35
0.0,1.1,4.45
0.3,2.6,6.65
0.5,1.7,6.65
0.0,1.2,5.25
4.1,3.2,8.35
1.5,2.6,5.85
0.0,2.7,4.2
0.0,3.7,3.9000000000000004
0.3,2.6,3.65
12.2,1.6,6.65
9.7,4.6,8.6
5.8,6.3,7.5
4.3,7.0,10.55
21.3,8.8,10.8
1.5,8.1,8.35
0.0,7.1,10.3
0.0,1.3,9.15
0.0,2.5,8.35
0.0,2.7,5.550000000000001
0.0,2.3,4.199999999999999
0.0,2.2,5.0
0.0,2.5,4.699999999999999
0.0,2.2,6.4
0.0,1.5,5.85
0.5,2.6,7.5
0.0,5.2,6.4
0.0,1.9,6.95
0.0,0.8,6.6499999999999995
0.0,1.3,4.45
0.0,1.3,5.55
8.9,1.6,8.6
21.6,3.4,9.15
0.0,6.4,7.2
2.3,2.6,6.699999999999999
2.0,0.8,5.3
0.0,2.5,5.0
0.0,4.3,2.5
0.0,4.7,0.34999999999999987
0.0,6.6,-3.0
0.0,4.5,-3.8
0.0,4.2,-0.8000000000000003
5.1,4.6,2.55
0.5,2.4,1.95
18.3,4.7,6.1
17.0,3.8,8.899999999999999
4.6,6.4,9.7
1.8,6.3,10.3
9.4,6.4,8.899999999999999
11.7,5.1,8.05
26.4,7.9,6.65
14.5,5.5,6.3500000000000005
15.2,6.2,6.95
1.0,6.0,6.1000000000000005
3.0,6.9,7.8
2.8,2.9,5.3
2.5,3.1,4.199999999999999
6.1,2.6,5.55
13.0,3.2,5.0
0.3,4.5,8.049999999999999
0.0,2.5,9.75
0.0,2.3,8.600000000000001
0.0,5.9,9.4
0.5,4.7,5.800000000000001
19.1,5.7,6.949999999999999
10.7,5.1,11.65
16.5,3.9,10.85
46.7,3.9,13.1
3.0,6.2,11.65
0.0,4.2,12.25
32.3,2.7,9.75
4.3,4.3,12.2
18.8,2.2,9.149999999999999
0.0,2.3,9.4
0.0,1.9,9.700000000000001
0.5,2.5,9.45
6.9,6.1,11.350000000000001
8.1,3.0,10.55
27.7,3.8,7.5
0.3,3.2,6.4
0.0,1.6,6.65
0.5,5.1,7.199999999999999
0.0,3.0,6.3999999999999995
0.0,3.8,6.699999999999999
0.0,1.8,6.1
0.0,3.3,8.600000000000001
0.0,2.2,10.85
4.1,4.4,10.3
3.6,2.4,8.35
0.3,2.8,9.45
22.1,3.9,9.45
14.0,5.1,9.45
0.0,5.1,8.05
0.0,3.8,8.9
0.0,2.8,10.55
0.0,4.2,10.0
2.5,3.9,9.7
0.0,4.7,9.45
4.6,4.3,9.75
0.0,2.6,11.100000000000001
0.0,2.5,15.25
4.6,4.2,11.95
0.0,2.9,10.55
0.0,3.6,10.85
0.0,2.8,11.1
0.0,4.4,11.950000000000001
0.0,3.1,13.100000000000001
0.0,2.6,12.8
0.5,4.0,11.1
10.9,4.6,10.0
18.5,4.7,9.45
0.0,3.8,10.0
13.7,4.7,8.649999999999999
0.0,2.7,10.6
5.1,2.5,12.5
14.2,4.2,8.6
8.9,5.0,8.899999999999999
12.4,5.3,10.0
0.0,2.3,10.0
3.3,3.9,10.3
6.9,5.8,8.6
0.0,2.6,10.25
0.0,2.3,17.2
0.0,3.9,18.6
0.0,3.0,20.25
0.0,4.7,14.45
33.3,3.4,11.95
16.0,4.2,11.65
5.1,3.8,12.5
0.0,2.6,12.5
0.0,1.7,12.75
13.7,3.4,11.65
2.0,5.6,10.25
0.5,2.1,11.4
0.0,1.7,13.6
0.0,2.7,16.9
0.0,3.8,19.75
0.0,3.3,20.55
0.0,3.0,19.75
0.0,4.1,15.85
0.0,3.2,15.85
0.0,3.2,15.3
0.0,2.2,15.55
0.0,2.7,16.1
0.0,1.7,15.3
0.0,2.5,18.049999999999997
3.8,4.0,16.4
0.0,2.4,14.7
5.6,1.4,12.8
0.0,4.5,14.7
0.0,2.5,15.0
0.0,3.4,14.45
0.0,4.3,15.0
0.0,4.5,14.75
0.0,2.2,16.65
0.0,2.3,16.4
0.0,2.4,17.2
0.0,3.2,14.7
0.0,2.6,14.7
0.0,2.4,16.1
0.0,3.2,17.8
0.0,3.1,18.85
0.0,2.1,17.75
0.0,3.6,17.200000000000003
0.0,2.9,16.1
0.0,2.7,17.5
1.8,4.0,16.95
6.4,5.0,13.35
0.0,3.2,14.75
0.5,3.6,14.15
3.6,2.4,13.350000000000001
1.3,3.0,13.9
0.0,2.7,15.0
0.8,3.7,18.65
0.3,3.4,15.0
0.0,3.6,16.4
0.0,2.7,18.05
0.0,2.5,19.15
0.0,2.5,19.4
0.0,2.4,20.0
0.0,4.1,17.75
1.8,4.5,17.5
2.3,4.3,16.65
0.0,3.2,16.700000000000003
0.0,4.4,19.200000000000003
0.0,3.5,25.0
0.0,3.6,20.8
0.0,3.1,17.8
0.0,3.6,18.9
0.0,2.2,18.85
0.0,3.0,21.95
0.0,4.1,22.5
0.0,3.5,22.8
0.0,2.3,20.3
0.0,2.2,20.85
0.0,2.2,23.05
0.0,2.2,24.450000000000003
0.0,2.6,22.2
0.0,2.8,21.4
0.0,2.3,22.5
0.0,2.4,22.75
0.0,3.7,20.3
0.0,2.8,17.799999999999997
0.0,5.4,20.3
0.0,2.8,16.9
0.0,2.2,18.6
0.3,1.1,17.200000000000003
19.3,3.3,16.1
0.0,4.7,16.700000000000003
0.0,2.7,17.5
0.0,3.6,19.700000000000003
0.0,4.1,21.65
0.0,3.7,22.8
